"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",987,1,7,"['AMST']",NA,"['Mark Allister']",200,"['L 515']","Top: California Dreams",207,"False","False","",3,"C",20003,"['MWF 0200-0255PM']","Topic",2000,21
"2",988,1,13,"['AMST']",NA,"['Judy Kutulas']",300,"['H 515']","Sem: Television Cultur",301,"False","False","",3,"C",20003,"['TTh 1145-0110PM']","Seminar",2000,22
"11",997,1,32,"['ART']",NA,"['Nancy M. Thompson']",100,"['FH 01']","Renaissance--Present",151,"False","False","",3,"C",20003,"['MWF 0905-1000']","Research",2000,34
"12",998,1,34,"['ART']",NA,"['Wendell Arneson']",200,"['FH AB']","Watercolor Painting",232,"False","False","",3,"C",20003,"['MWF 1255-0255PM']","Research",2000,23
"13",999,1,37,"['ART']",NA,"['Steven Edwins']",200,"['FH AB']","Arch Drawing/Design I",235,"False","False","",3,"C",20003,"['TTh 0800-1100']","Research",2000,15
"14",1000,1,39,"['ART']",NA,"['Jan Shoger']",200,"['FH 44']","Printmkg: Intaglio/Mono",237,"False","False","",3,"C",20003,"['MWF 1045-1245PM']","Research",2000,16
"15",1001,1,42,"['ART']",NA,"['Patrick T. Kelley']",200,"['FH 21']","Motion Graphics",240,"False","False","",3,"O",20003,"['TTh 1145-0245PM']","Research",2000,11
"16",1002,1,43,"['ART']",NA,"['Mary Griep']",200,"['FH 40', 'FH 40']","Figure Drawing",242,"False","False","",3,"C",20003,"['MF 1255-0255PM', 'W 0800-1000PM']","Research",2000,19
"17",1003,1,45,"['ART']",NA,"['Ron Gallas']",200,"['FH 19']","Ceramics",244,"False","False","",3,"C",20003,"['TTh 1145-0245PM']","Research",2000,14
"18",1004,1,47,"['ART']",NA,"['David E. Ryan']",200,"['SC 18']","Video Art Production",249,"False","False","",3,"C",20003,"['TTh 0800-1100']","Research",2000,11
"19",1005,1,52,"['ART']",NA,"['Matthew Rohn']",200,"['FH 01']","Art Since 1945",253,"False","False","",3,"O",20003,"['MWF 1045-1140']","Research",2000,36
"20",1006,1,53,"['ART']",NA,"['Nancy M. Thompson']",200,"['FH 01']","Italian Renaissance",254,"False","False","",3,"C",20003,"['TTh 1145-0110PM']","Research",2000,17
"21",1007,1,55,"['ART']",NA,"['Margaret Ojala']",200,"['FH 01']","Hist of Photography",256,"False","False","",3,"C",20003,"['MWF 1150-1245PM']","Research",2000,23
"22",1008,1,57,"['ART']",NA,"['A. Malcolm Gimse']",200,"['FH 01']","Art of China/Japan",259,"False","False","",3,"C",20003,"['MWF 1255-0150PM']","Research",2000,44
"23",1009,1,59,"['ART']",NA,"['A. Malcolm Gimse']",200,"['FH 01']","World Architecture",261,"False","False","",3,"C",20003,"['TTh 0120-0245PM']","Research",2000,31
"24",1010,1,66,"['ART']",NA,"['Matthew Rohn']",200,"['FH SEM']","Topics in Art History",275,"False","False","",3,"O",20003,"['TTh 0120-0245PM']","Topic",2000,3
