"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",4449,1,12,"['AMST']","","['Mark Allister']",200,"","IS/Landscape of Am Sw",298,"False","False","",2,"O",20022,"","Research",2002,3
"2",4450,1,28,"['ART']","","['Irve Dell']",100,"['DC 106', 'DC 106', 'DC 106']","Foundation Sculpture",122,"False","False","",2,"C",20022,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research",2002,16
"3",4451,1,32,"['ART']","","['Randall Van Schepen']",100,"['DC 305']","Renaissance--Present",151,"False","False","",2,"C",20022,"['M-F 1040-1240PM']","Research",2002,39
"4",4452,1,40,"['ART']","","['Justin Newhall']",200,"['DC 100', 'DC 100']","Comp-Generatd Imagery",228,"False","False","",2,"O",20022,"['M-F 1040-1200PM', 'M-F 0100-0300PM']","Research",2002,13
"5",4453,1,44,"['ART']","","['John Saurer']",200,"['DC 216', 'DC 216']","Advanced Drawing",233,"False","False","",2,"O",20022,"['M-F 0900-1000', 'M-F 1040-1210PM']","Research",2002,13
"6",4454,1,48,"['ART']","","['Jill Ewald']",200,"","Manhattan Art Interim",246,"False","False","",2,"C",20022,"","Research",2002,18
"7",4455,1,64,"['ART']","","['Matthew Rohn']",200,"['DC 204']","Issues Art Criticism",270,"False","False","",2,"O",20022,"['M-F 1040-1240PM']","Research",2002,12
"8",4456,1,68,"['ART']","","['John Saurer']",200,"","Academic Internship",294,"True","False","",2,"O",20022,"","Research",2002,1
"9",4457,1,68,"['ART']","","['Wendell Arneson']",200,"","Academic Internship",294,"True","False","A",2,"O",20022,"","Research",2002,1
"10",4458,1,75,"['ART']","","['Wendell Arneson']",300,"","IR/Advanced Painting",398,"False","False","",2,"O",20022,"","Research",2002,1
"11",4459,1,75,"['ART']","","['Irve Dell']",300,"","IR/Fine Furniture",398,"False","False","A",2,"O",20022,"","Research",2002,1
"12",4460,1,79,"['ASIAN']","","['Marilynn Miller']",100,"['DC 305']","Intro Japnese Film-Tr",124,"False","False","",2,"C",20022,"['T-F 0800-1000']","Research",2002,30
"13",4461,1,82,"['ASIAN']","","['Richard Bodman']",100,"['OM 001', 'OM 001']","Afghan Kaleidoscope",152,"False","False","",2,"C",20022,"['M-Th 0900-1000', 'M-Th 1040-1210PM']","Research",2002,16
"14",4462,1,85,"['ASIAN']","","['Robert Entenmann']",200,"","Nat ID/China & Japan",212,"False","False","",2,"C",20022,"","Research",2002,21
